birth	death	gender	hair	height	name	race	realm	spouse
TA 552	TA 777	Male			Elendur of Arnor	Men	Arnor	Unnamed wife
Years of the Trees	FA 538	Male	Dark red		Amras	Elf	Estolad	None
TA 2050		Male		7'1	Shagrat	Black Uruk	Cirith Ungol	
					Fíriel Fairbairn			
SA 512	SA 900	Male			Caliondo	Men		Unnamed wife
Mid ,First Age	FA 495	Female			Aerin	Men		Brodda
					Seers			
SA 377		Female			Mairen	Men		
Late ,First Age	Late First Age	Male			Ragnir	Men		
TA 2880	TA 2982	Male			Adalgrim Took	Hobbits		Unnamed wife
FA 441	FA 502	Male	Golden, grey (in old age)		Húrin	Men		Morwen Eledhwen
SA 2136	SA 2526	Male			Tar-Telemmaitë	Men	Númenor	Unnamed wife
TA 1454	TA 1634	Male			Minardil	Men	Gondor	Unnamed wife
After ,SA 61	Early ,Second Age	Male			Atanalcar	Men		Possible unnamed wife
Second Age	Sometime after the ,War of the Last Alliance	Male		Tall	The King of the Dead	Men,Undead	White Mountains,Paths of the Dead	
TA 2980	Early ,Fourth Age	Male			Fredegar Bolger	Hobbits		unknown, possibly unmarried
Late ,Third Age		Male	Dark	Tall	Mablung the Ranger	Men		
					Haldar			
TA 2814	TA 2916	Female			Laura (Grubb) Baggins	Hobbits		Mungo Baggins
TA 2830	TA 2903	Male			Folcwine	Men	Rohan	Unnamed wife
	March ,3019	Male			Lagduf	Orcs		
SA 2277	SA 2637	Female			Tar-Vanimeldë	Men	Númenor	Herucalmo
TA 2842	TA 2946	Male			Isembold Took	Hobbits		Unnamed wife
TA 2904	TA 3000	Male			Wilibald Bolger	Hobbits		Prisca Baggins
TA 1879	TA 1998	Male			Pelendur	Men		
TA 1391	TA 1589	Male			Araphor	Men	Arthedain	Unnamed wife
TA 895	TA 1110	Male			Mallor	Men	Arthedain,Arnor	Unnamed wife
SA 203	Early ,Second Age	Female			Vardilmë	Men		
before ,TA 2860		Female			Druda Burrows Boffin	Hobbits		Rollo Boffin
TA 2804	TA 2864	Male			Folca	Men		Unnamed wife
TA 2855	TA 2953	Male			Turgon (Steward)	Men		Unnamed wife
	FA 510	Male	Dark		Ecthelion of the Fountain	Elves		
					Malantur			
FA 317		Male			Baranor	Men		Unnamed wife
First Age	FA 495	Female	Golden		Finduilas	Elves		None; betrothed to ,Gwindor, but never married.
TA 1684	TA 1856	Male			Narmacil II	Men		Unnamed wife
TA 2790	TA 2920	Male			Gerontius Took	Hobbits		Adamanta Chubb
TA 2940	TA 3015	Male			Gálmód	Men		Unnamed wife
TA 2984	FO 61	Female	Light brown (film)		Rosie Cotton	Hobbits		Sam Gamgee
TA 2290	TA 2412	Male			Barahir (Steward)	Men	Gondor	Unnamed wife
SR 1316	SR 1410	Male			Dinodas Brandybuck	Hobbits		
Before the creation of ,Arda	Immortal	Male	Golden		Tulkas	Ainur	Valinor,House of Tulkas	Nessa
Late ,Third Age		Female			Lily Cotton	Hobbits		Farmer Cotton
TA 2827	TA 2932	Male			Aglahad	Men		Unnamed wife
TA 1832	TA 1981	Male			Náin I	Dwarves	Khazad-dûm	Unnamed wife
YT 1362	FA 400	Female	Dark	Tall	Aredhel	Elves		Eöl
					Sancho Proudfoot			
TA 1789	TA 1964	Male			Araphant	Men	Arthedain	Unnamed wife
					Dora Baggins			
Before the creation of ,Arda	Immortal	Male			Irmo	Ainur		Estë
					Saradoc Brandybuck			
Possibly late ,Third Age		Male	Possibly blond		Gamling	Men		
Before the creation of ,Arda	Immortal	Female		Varies	Nessa	Ainur	Valinor	Tulkas
TA 2760	After ,TA 2941	Female			Dís	Dwarves		
YT, and perhaps Firstborn	YT 1495	Male	Black		Finwë	Elves	Tirion,Formenos	Míriel Serindë then ,Indis
TA 2975	March 3, or ,4 ,3019	Male	Reddish brown (movie)		Háma	Men		Unknown, possibly none
TA 2774	TA 2994	Male			in	Dwarves		
TA 654	TA 913	Male			Tarannon Falastur	Men	Gondor	Berúthiel
Late ,Third Age	Early ,Fourth Age	Male	Brown (film)		Bill Ferny	Men		
					Goldilocks (Gardner) Took			
Mid ,Third Age	TA 1856	Male			Marhari	Men		Unnamed wife
TA 2941	FO 20	Male			Tolman Cotton	Hobbits		Lily Brown
TA 2752	TA 2872	Male			Belecthor II	Men		Unnamed wife
TA 2440	TA 2589	Male			Dáin I	Dwarves	Grey Mountains	Unnamed wife
TA 2769		Male			Basso Boffin	Hobbits		None
FA 450	FA 473	Female			Rían	Men		Huor
Mid ,First Age	Between ,FA 455, - ,FA 460	Female			Eilinel	Men		Gorlim
YT		Female			rimë	Elves		
After ,SA 61	Early ,Second Age	Male			Manwendil	Men		Possible unnamed wife
TA 185	TA 435	Male			Arantar	Men	Arnor	Unnamed wife
TA 2948		Male	Brown		Farmer Maggot	Hobbits		Unnamed wife
First Age	Presumably departed to ,Aman	Male	Golden	Tall	Thranduil	Elves	Woodland Realm,Mirkwood	Unnamed wife
TA 2980	FO 60	Male			Tolman Cotton Jr.	Hobbits		Marigold Cotton
TA 2925	TA 3007	Male	Brown (film)	1.76m / 5'9" (film)	Bain	Men	Dale	Unnamed wife
Late ,First Age	FA 473	Male			Borlach	Men		
TA 2485	TA 2545	Male	Blond		Eorl the Young	Men	Rohan	Unnamed wife
TA 2701	TA 2800	Male		1.35m (4'5")	Bandobras Took	Hobbit		Unnamed wife
SA 575		Male			Cemendur (son of Axantur)	Men		Unnamed wife
TA 2985	Early ,Fourth Age	Male		6'2"	Bard II	Men	Dale,Lake-town	
TA 2946		Male			Griffo Boffin	Hobbits		Daisy Baggins
Late ,First Age	FA 460	Male			Dairuin	Men		
	Possibly departed to ,Aman	Male	Brown (films)	Tall	Lindir	Elves		
SA 771	SA 985	Female	Dark		Erendis	Men	Númenor	Tar-Aldarion
Late ,Third Age	Late Third Age	Female			Eglantine (Banks) Took	Hobbits		Paladin Took II
TA 2864	TA 2960	male			Fosco Baggins	Hobbits		Ruby Bolger
Late ,Second Age	Early ,Third Age	Male			Estelmo	Men		
TA 1736	TA 1936	Male			Calimehtar	Men	Gondor	Unnamed wife
TA 2701	TA 2801	Male			Ferumbras Took II	Hobbits		Unnamed wife
Late ,Third Age	Late ,TA 3018	Male			Tobias Hornblower	Hobbits	Shire	
FA 473	FA 499	Female	Golden	Tall	Niënor	Men		Túrin Turambar
	FA 538	Male			Egalmoth (elf)	Elves		Unknown, possibly none
FA 282	FA 376	Male			Marach	Men		Unnamed wife
					Agathor			
YT	Still alive	Female			Amarië	Elves		Loved ,Finrod, but it is unknown whether they married
TA 2851		Male			Halfred Greenhand	Hobbits		
TA 241	FO 121	Female	Black		Arwen	Half-elven,Men	Reunited Kingdom	Aragorn II Elessar
					Falathar			
TA 2946		Male			Ponto Baggins II	Hobbits		Unnamed wife
TA 2886	TA 2984	Male			Ecthelion II	Men		Unnamed wife
Unknown, possibly during the ,First Age	FA 495	Male	Became grey in captivity		Gwindor	Elves		None, betrothed to ,Finduilas
YT 1230	Still Alive	Male	Golden		Finarfin	Elves	Tirion	Eärwen
FA 340		Male			Bereg	Men		
Mid ,First Age	FA 460	Male			Hathaldir	Men		
FA 464	FA 499	Male	Dark	Tall	Túrin	Men		Nienor
TA 310	TA 541	Male			Rómendacil I	Men	Gondor	Unnamed wife
					Olo Proudfoot			
		Female			Malva "Headstrong" Brandybuck	Hobbit		Gormadoc Brandybuck
YT 1362	Still alive: Departed over the sea on ,September 29 ,3021	Female	Golden	Tall	Galadriel	Elves	Eregion,Lothlórien,Caras Galadhon	Celeborn
TA 2545	TA 2655	Male			Belecthor I	Men		Unnamed wife
FA 262	FA 355	Male			Bëor	Men		Unnamed wife
					Tim			
TA 2844		Male			Hildifons Took	Hobbits		
SA 3299	TA 2	Male			Elendur	Men		Unnamed wife
SA 3399	TA 238	Male			Cemendur	Men	Gondor	Unnamed wife
	FA 510	Male			Rog	Elves		
FA 432	FA 466	Male	Dark	Tall	Beren	Men		Lúthien Tinúviel
					Minastan			
Before the creation of ,Arda		Female			Ilmarë	Ainur		
FA 503	Still Alive	Male	Golden		Eärendil	Half-elven		Elwing
SA 2798	SA 3033	Male			Ar-Zimrathôn	Men	Númenor	Unnamed wife
Possibly pre First Age	Unknown; possibly still alive	Most likely male	None	Huge	Watcher in the Water	Urulóki	Doors of Durin	Most likely none
					Bodo Proudfoot			
TA 1560	Sometime after ,TA 1601	Male			Blanco	Hobbits		
					Wilimar Bolger			
TA 2274		Male			Gorhendad (Oldbuck) Brandybuck	Hobbits		Unnamed wife
SA 61	SA 471	Male			Vardamir Nólimon	Men	Númenor	Unnamed wife
					Ulrad			
TA 2983	February 26 ,82	Male	Raven		Faramir	Men	Minas Ithil	owyn
TA 2512	TA 2570	Male			Brego	Men	Rohan	Unnamed wife
		Male			Gostir	Dragons		
TA 2866	FO 137,(aged 280)	Male			Thorin III Stonehelm	Dwarves	Lonely Mountain,Iron Hills	
YT		Male	Dark		Daeron	Elves		None
During in the ,Noontide of Valinor	FA 506	Male	Fair		Celegorm	Elves		None
TA 222	TA 492	Male			Ostoher	Men	Gondor	Unnamed wife
FA 292		Male			Belen	Men		Unnamed wife
Before the creation of ,Arda	Immortal	Female			Uinen			Ossë
TA 2238	TA 2488	Male			in (King of Durin's Folk)	Men	Grey Mountains	Unnamed wife
	3019	Male			Ufthak	Orc	Cirith Ungol	None
TA 2563	TA 2805	Male			Grór	Dwarves		Unnamed wife
TA 2950	TA 2978	Female			Elfhild	Men	Rohan	Théoden
TA 1938	TA 2106	Male			Aranarth	Men		Unnamed wife
Before the creation ,Arda	Immortal	Male			Ossë	Ainur		Uinen
Before the creation of ,Arda	Immortal	Female			Nienna	Ainur	Valinor,Halls of Nienna	None
Sometime before ,SA 799		Male			Orchaldor	Men		Ailinel
	FA 465	Female			Thuringwethil	Vampire		
TA 1144	TA 1349	Male			Malvegil	Men	Arthedain	Unnamed wife
Early ,Second Age	Mid Second Age	Male			Ulbar	Men		Unnamed wife
		Male			Guilin	Elves		Unnamed wife
		Male			Elboron	Men		
		Male			Galion	Elves		
TA 2890	TA 2981	Male			Sigismond Took	Hobbits		Unnamed wife
TA 2693	TA 2848	Male			Arathorn I	Men		Unnamed wife
TA 2156	TA 2319	Male			Aravir	Men		Unnamed wife
	TA 3019	Male	Golden		Haldir (Lorien)	Elves		
TA 1553	TA 1743	Male			Arvegil	Men	Arthedain,Arnor	Unnamed wife
TA 1787	TA 1944	Male			Ondoher	Men	Gondor	Unnamed wife
SA 3119	SA 3441	Male	Brown	7' 10"	Elendil	Men	Arnor,Gondor	Unnamed wife
TA 1259	TA 1447	Male			Castamir the Usurper	Men	Gondor	Unnamed wife
TA 397	TA 667	Male			Turambar	Men	Gondor	Unnamed wife
TA 2935	FO 10	Male			Odovacar Bolger	Hobbits		Rosamunda Took
SR 1240	SR 1341	Male			Hildigrim Took	Hobbits		Rosa Baggins
TA 2328	TA 2435	Male			Dior (Steward)	Men		Possibly none
TA 280	TA 515	Male			Tarcil	Men	Arnor	Unnamed wife
Before the the Shaping of Arda	January 253019 ,Battle of the Peak immortal	Male	Grey, later white		Gandalf	Maiar		
	Fate officially unknown	Male		Short	Salgant	Elves		
					Ruby Gamgee			
Late ,Third Age	TA 3019	Male	Dark		Damrod	Men		
Before the creation of ,Arda	FA 510	Male			Gothmog	Maiar,Balrogs		
F.A. 341		Male			Magor	Men		
TA 2542	TA 2790	Male	Grey-white		Thrór	Dwarves	Grey Mountains,Lonely Mountain	Unnamed wife
					Warg Matriarch			
SA 3219	SA 3440	Male			Anárion	Men	Gondor	Unnamed wife
Before the creation of ,Arda	January 253019	Male	Mane of red flames	Slightly larger and taller than a Man (book), 20 feet (movie)	Durin's Bane	Maiar,Balrog		
Before the Creation of ,Arda	FA 466	Male	Black with red stripes	Gigantic	Carcharoth	Werewolves	Angband	
Early ,Second Age	Early Second Age	Female	White or grey		Zamîn	Men		
					Daisy Gamgee			
TA 2810		Male			Holman Greenhand	Hobbits		
TA 2847	TA 2946, (SR 1346	Male			Isembard Took	Hobbits		
Late ,Third Age		Female			Mrs. Proudfoot	Hobbits		Odo Proudfoot
					Inigo Baggins			
					Togo Goodbody			
TA 2990	FO 63	Male	Dirty blond	Tall-6'6	omer	Men	Rohan	Lothíriel after the War of the Ring
FA 440	FA 489	Male			Andróg	Men		Unnamed wife
UnknownYT	Still alive	Male	Brown with copperlike-red		Mahtan	Elves		Unnamed wife
YT during the ,Noontide of Valinor	FA 472	Male	Dark		Fingon	Elves	Hithlum	
		Male			Fire-drake of Gondolin	Dragon		
TA 2870	TA 2953	Male			Fengel	Men	Rohan	
YT		Male			Lindo	Elves		Vairë
TA 2859		Male			Hending Greenhand	Hobbits		
Late-,Third Age	March 15 ,3019	Male	Gray		Herefara	Men		Unnamed wife
Unknown, Awakened in the ,Years of the Trees		Female			Iminyë	Elves		Imin
					Daddy Twofoot			
TA 2964	TA 3019	Male	Sandy	1.22m (4'0") 	Lotho Sackville-Baggins	Hobbits		None
Before the creation of ,Arda	Immortal	Female		Varies	Yavanna	Ainur	Pastures of Yavanna	Aulë
Late ,Third Age		Male			Ceorl	Men		
					Andwise Roper			
					Tanta (Hornblower) Baggins			
Years of the Trees	YT 1497 ,Losgar	Male	Dark red		Amrod	Elves		None
TA 2930	March 15 ,3019	Male	Dark, grey (in old age)		Denethor II	Men		Finduilas
Late ,Third Age	Late Third Age	Female			Ivy (Goodenough) Boffin	Hobbits		Buffo Boffin
Before the creation of ,Arda	3 November ,3019	Male	White		Saruman	Maiar	Isengard,Nan Curunír	None
		Male			Aranwë	Elves		Unnamed wife
During the ,Noontide of Valinor	Fate unknown	Male	Dark		Maglor	Elves		Unnamed wife
SA 371		Female			Yávien	Men		
TA 2752	TA 2842	Male			Brytta Léofa	Men	Rohan	Unnamed wife
Early  ,Third Age		Female			Berúthiel	Men	Gondor	Tarannon Falastur
					Bilbo Gardner			
FA 402	FA 460	Male	Possibly dark		Barahir	Men		Emeldir
SA 700		Female			rildë	Men		
TA 2815	TA 2914	Male			Túrin II	Men		Unnamed wife
Early ,Second Age	Early Second Age	Male			Elatan	Men		Silmariën
SA 521		Female			Silmariën	Men		Elatan
After ,TA 654	Before ,TA 913	Male			Tarciryan	Men		Unnamed wife
SA 1986	SA 2386	Male			Tar-Ancalimon	Men	Númenor	Unnamed wife
First Age		Male			Voronwë	Elves		None known
		Male			Hendor	Elves		
TA 2782	TA 2882	Male			Thorondir	Men		Unnamed wife
TA 2726	TA 2798	Male			Fréaláf Hildeson	Men	Rohan	Unnamed wife
First Age	First Age	Male			Telchar	Dwarves		
TA 2227	TA 2327	Male			Aragorn I	Men		Unnamed wife
Late ,Third Age	March 15 ,3019	Male		Tall	Hirluin	Men		
TA 1309	TA 1409	Male			Arveleg I	Men	Arnor,Arthedain	Unnamed wife
SA 382		Male			Oromendil	Men		
FA 415	FA 473	Female	Blonde		Glóredhel	Men		Haldir
Late ,Third Age	Winter of ,TA 2758	Male			Haleth (Helm's son)	Men		
TA 1934	TA 2190	Male			Thráin I	Dwarves	Khazad-dûm	Unnamed wife
					Mûmakil			
TA 640	TA 861	Male			Eärendur of Arnor			Unnamed wife
					Durin			
Late ,First Age	Late First Age	Male			Lorgan	Men		
					Calimmacil			
	FA 510	Male			Orcobal	Orcs		
Before the creation of Arda	Immortal	Female			Varda	Ainur	Arda	Manwë
Late ,First Age	FA 499	Males			Dorlas	Men		
Unknown, awakened in the ,Years of the Trees		Male			Tata	Elves		Tatië
TA 2800		Male			Wiseman Gamwich	Hobbit		Unnamed wife
					Balcmeg			
Early ,First Age		Male		Tallest of the Elves of Gondolin	Pengolodh	Elves		
First Age	SA 3434	Male			Oropher	Elves	Woodland Realm	Unnamed wife
Before the creation of ,Arda	March 25 ,3019	Male	Various	Various until	Sauron	Maiar		None
Mid ,First Age	FA 460	Male			Ragnor	Men		
					Flambard Took			
Between ,SA 700, and ,SA 750	Early ,Second Age	Female			Ailinel	Men		Orchaldor
TA 2619	TA 2699	Male			Goldwine	Men	Rohan	
Late ,Third Age		Male			Hob Hayward	Hobbits	Shire	
		Male			Gelmir (of Angrod's kin)	Elves		
					Narvi			
TA 1940	TA 2001	Male			Frumgar	Men		Unnamed wife
TA 2763	TA 2994	Male	White		Balin	Dwarves		
TA 1950	TA 2076	Male			Imrazôr	Men		Mithrellas
TA 2788		Male			Roäc	Raven		
TA 2965		Male			Hamson Gamgee	Hobbits		None
TA 2976	Fourth Age	Male			Beregond (Captain)	Men		Unnamed wife
First Age	FA 499				Brandir	Men		
3019	February 29 ,3019	Male	Black (film)		Mauhúr	Uruk-hai	Isengard,Saruman	none
22 September ,TA 2890	Unknown (Last sighting 29 SeptemberTA 3021,) (,SR 1421,)	Male	Brown, later white	1.25m (4'1")	Bilbo Baggins	Hobbits		None
Unknown, possibly sometime during the ,Years of the Trees	FA 506	Female			Nimloth (elf)	Elves	Doriath	Dior Eluchíl
					Nauglath			
					Poppy (Chubb-Baggins) Bolger			
Second Age		Male	White		Khamûl	Men,Wraith	Rhûn,Dol Guldur,Sauron	
					Carc			
TA 2904	TA 3005	Male	Brown Gray (movie)		Odo Proudfoot	Hobbits		Mrs. Proudfoot
TA 2037	TA 2148	Male			Herion	Men		Unnamed wife
Late ,Third Age	March 15 ,3019	Male			Fastred (Pelennor Fields)	Men		
TA 2760		Male			Hamfast of Gamwich	Hobbit		Unnamed wife
					Merry Gamgee			
TA 2430	March 25 ,3019	Male			Gollum	Hobbits		
SR 1261		Female			Nina Lightfoot	Hobbits	Shire	Theobald Bolger
SR 1347		Male			Milo Burrows	Hobbits		Peony Baggins
During the ,Noontide of Valinor	FA 506	Male	Dark		Caranthir	Elves		Unnamed wife
					Vëannë			
Mid ,Third Age	Mid Third Age	Male	Dark, later grey		Malbeth the Seer	Men		Unknown, possible none
TA 2628	TA 2784	Male			Arassuil	Men		Unnamed wife
YT 1300	FA 465	Male	Golden		Finrod	Elves		Loved ,Amarië but they never married
	FA 502	Male			Mablung	Elves		
					Artamir			
TA 2976		Female			May Gamgee	Hobbits		
Late-,Third Age	Early-,Fourth Age	Male			Wídfara	Men		Unnamed wife
FA 417	FA 462	Male		Tall	Galdor	Men		Hareth
	Still Alive	Female	Golden	Tall	Indis	Elves	Tirion	Finwë
Late ,First Age	FA 460	Male			Belegund	Men		Unnamed wife
FA 532	Still alive; departed to ,Aman, on ,September 29 ,3021	Male	Dark	Tall	Elrond	Half-elven	Rivendell	Celebrían
Sometime before ,SA 799		Male			Hatholdir	Men		Unnamed wife
SA 3318	TA 158	Male			Meneldil	Men	Gondor	Unnamed wife
					Adalgar Bolger			
Late ,Third Age	Early ,Fourth Age	Male			Ingold	Men		
Mid ,FA	Mid FA	Male			Hundad	Men		Unnamed wife
TA 2982	FO 65	Male	Golden yellow (film)	1.38m (4'6")	Meriadoc Brandybuck	Hobbit		Estella (Bolger) Brandybuck
					Elfstan Fairbairn			
TA 2981	Early-,Fourth Age	Female	Blonde		Angelica Baggins	Hobbit		
FO 2		Male			Durin VII	Dwarves	Khazad-dum	
Late-,Third Age	Early-,Fourth Age	Male	Dark (Decipher Card)	Tall	Duinhir	Men		Unnamed wife
					Linda (Baggins) Proudfoot			
After ,SA 61	Early ,Second Age	Female			Tindómiel	Men		
Unknown, first appeared in ,TA 2770	November 1 ,TA 2941	Male			Smaug	Dragons	Lonely Mountain	
TA 3011		Male			Borlas	Men		Unnamed wife
Late ,Third Age		Male			Gléowine	Men		
TA 2894	TA 2986	Male			Jago Boffin	Hobbits		Unnamed wife
TA 2961	TA 3002	Male	Blond		omund	Men		Théodwyn
SA 361	Early ,Second Age	Male			Eärendur of Númenor	Men		Unnamed wife
Possibly ,YT	FA 510	Male	Golden	Tall	Glorfindel	Elves		None
TA 2910	TA 3012	Male		1.22m (4'0")	Otho Sackville-Baggins	Hobbits		Lobelia Sackville-Baggins
Late ,First Age	FA 489	Male			Algund	Men		None known
		Male			Sagroth	Men		
TA 2698	TA 2754	Male	Dark		Freca	Men		Unnamed wife
TA 2860	TA 2950	Male			Longo Baggins	Hobbits		Camellia (Sackville) Baggins
TA 2816	TA 2911	Male			Ponto Baggins	Hobbits		Mimosa Bunce
SA 3430	TA 249	Male			Valandil	Men	Arnor	Unnamed wife
TA 2978	Early ,Fourth Age	Male			Folco Boffin	Hobbits		
TA 462	TA 652	Male			Valandur	Men	Arnor	Unnamed wife
	TA 3019	Male			Snaga	Orcs		
Late-,Third Age	March 15 ,3019	Male			Herubrand	Men		Unnamed wife
TA 2772	FO 91	Male	Brown		Dwalin	Dwarves		
TA 2972	FO 54	Female			Daisy Gamgee I	Hobbits		
TA 2917	TA 3010	Male			Adrahil II	Men		Unnamed wife
Mid ,First Age	FA 456	Male			Gundor	Men		
FO 43	Before ,FO 220	Male	Dark		Eldarion	Men	Reunited Kingdom,Arnor,Gondor	
FA 341	FA 420	Female			Haleth	Men		None
					Théodwyn			
FA 470,	FA 506,	Male	Possibly dark		Dior	Half-elven	Doriath	Nimloth
	July ,2941	Male	Grey/white strands of hair (film)	About nine feet (film)	Great Goblin	Orcs		
		Male			Dodinas Brandybuck	Hobbits		
TA 2818		Female			Adaldrida (Bolger) Brandybuck	Hobbits		Marmadoc Brandybuck
TA 2552	TA 2589	Male			Frór	Dwarves		
Unknown, awakened in the ,Years of the Trees		Female			Tatië	Elves		Tata
FA 470	FA 501	Male			Hardang	Men		None
TA 2338	TA 2585	Male			Náin II	Dwarves	Grey Mountains	Unnamed wife
					Carl Cotton			
TA 2497	TA 2654	Male			Aravorn	Men		Unnamed wife
					Mallor (BOH)			
Early ,Second Age	unknown	Male			Henderch	Men		
Before the Creation of ,Arda	Immortal	Male		30	Thorondor	Great Eagles		
YT	Unknown, presumably still alive	Female			Meril-i-Turinqi	Elves	Tol Eressëa	
YT during the ,Noontide of Valinor	FA 455	Male	Golden		Aegnor	Elves		Loved ,Andreth but remained unmarried
	Possible sailed West	Male	Golden		Gildor Inglorion	Elves,Noldor		
Around FA 450		Female			Meleth	Men		Agathor
Late ,First Age	Late First Age	Male			Manthor	Men		
Unknown, late fifth or sixth century ,First Age		Male			Glirhuin	Men		
TA 2886		Male			Bowman Cotton	Hobbits		None
TA 811	TA 1029	Male			Beleg of Arnor	Men	Arnor,Arthedain	Unnamed wife
YT		Female			Eldalótë	Elves		Angrod
SR 1255	SR 1348	Male			Rudigar Bolger	Hobbits	Bree	Belba Baggins
TA 2859	November 23TA 2941	Male	Yellow		Fíli and Kíli	Dwarves		None
		Male			Legolas (elf of Gondolin)	Elves		
Late Second Age	SA 3065	Male			Númendil	Men		Unnamed wife
Mid ,First Age	FA 474	Male			Grithnir	Men		
YT 1050	FA 502	Male	Silver	Tallest of the Elven-folk, 8'2"	Thingol	Elves	Doriath	Melian
TA 2817	TA 2923	Female			Adamanta (Chubb) Took	Hobbits		Gerontius "The Old" Took
					Andvír			
					Fimbrethil			
TA 2767	TA 2858	Male			Balbo Baggins	Hobbits		Berylla (Boffin) Baggins
TA 2957	March 17 ,3019	Male			Brand	Men	Dale,Laketown	Unnamed wife
FO 2	FO	Male			Frodo Gardner	Hobbits		Unnamed wife
TA 2865		Male			Blanco Bracegirdle	Hobbits		Primrose Boffin
TA 2920	FO 50	Male			Ted Sandyman	Hobbits		
unknown	unknown	Male			Erellont	Elves		unknown
SR 1256		Female			Rosa (Baggins) Took	Hobbits		Hildigrim Took
TA 2671	TA 2923	Male			Gróin	Dwarves		Unnamed wife
Late ,First Age	Late First Age	Male			Dírhavel	Men		
TA 2296	TA 2455	Male			Araglas	Men		Unnamed wife
TA 2431	TA 2588	Male			Aragost	Men		Unnamed wife
TA 2854		Male			Erling Greenhand	Hobbits		
SA 852	SA 1211	Male			Hallacar	Men		Tar-Ancalimë
Before the creation of Arda		Male			Pallando	Ainur		
					Tanta Hornblower			
					Wife of Barach			
Late ,Second Age		Female			Inzilbêth	Men		Ar-Gimilzôr
					Gruffo Boffin			
Late ,First Age	FA 473	Male			Bór	Men		Unnamed wife
TA 1058	TA 1304	Male			Calmacil	Men	Gondor	Unnamed wife
					Pimpernel Took			
FA 413	FA 473	Male			Haldir (Haladin)	Men		Glóredhel
TA 2820	TA 2930	Male	Dark, then grey (film)		Arador	Men		Unnamed wife
SA 3209	TA 2	Male	Black	Very tall almost 7'1	Isildur	Men	Arnor,Gondor	Unnamed wife
Late ,First Age	FA 460	Male			Gorlim	Men,Wraith		Eilinel
Years of the Trees	Still alive	Female	Star-like		Eärwen	Elves		Finarfin
TA 2480	TA 2605	Male			Hallas (Steward)	Men		Unnamed wife
TA 979	TA 1191	Male			Celepharn	Men	Arthedain	Unnamed wife
TA 2666	TA 2759	Male			Isumbras Took III	Hobbits		Unnamed wife
FA 339		Male			Belemir	Men		Adanel
During the ,Noontide of Valinor	FA 506	Male	Dark		Curufin	Elves	Himlad	Unnamed wife
TA 1473	TA 1670	Male			Argeleb II	Men	Arthedain	Unnamed wife
TA 2849	TA 2934	Male			Hildibrand Took	Hobbits		
SA 1174	SA 1574	Male			Tar-Súrion	Men	Númenor	Unnamed wife
					Marmadoc Brandybuck			
	FA 510,(presumably)	Male			Elemmakil	Elves		
TA 2983	Early-,Fourth Age	Female	Dark Brown		Mentha Brandybuck	Hobbits		
Late ,Third Age	March 15 ,3019	Male			Grimbold	Men		
					Prisca (Baggins) Bolger			
	FA 473	Male			Gelmir	Elves		
					Tolman Gardner			
TA 2947		Female			Ivriniel	Men		
FA 289	FA 380	Male			Baran	Men	Estolad	Unnamed wife
SA 3118	Still alive	Male		Tall	Ar-Pharazôn	Men	Númenor	Tar-Míriel
TA 2838	After ,TA 2929	Male	Brown (film)		Dírhael	Men		Ivorwen
		Male			Arminas	Elves		
TA 2908	TA 2980	Male			Drogo Baggins	Hobbits		Primula Brandybuck
YT	FA 455	Male	Golden		Angrod	Elves		Eldalótë
YT 1190	FA 455	Male	Dark		Fingolfin	Elves	Hithlum,Beleriand	Anairë
TA 2994		Male			Amrothos	Men		
					Rose Gamgee			
TA 2691	TA 2759	Male			Helm Hammerhand	Men	Rohan	Unnamed wife
					Berilac Brandybuck			
TA 2936		Female			Esmeralda Brandybuck	Hobbits		Saradoc Brandybuck
SR 1179		Male			Sadoc Brandybuck	Hobbits		Unnamed wife
TA 2004	TA 2129	Male			Galador	Half-elven		Unnamed wife
YT 1300	FA 510	Male	Dark		Turgon	Elves	Nevrast,Gondolin	Elenwë
Sometime during ,Years of the Trees, or the ,First Age	SA 3434	Male			Amdír	Elves	Lórien	Unnamed wife
Late ,Third Age	TA 2994	Male			Flói	Dwarves		
TA 1226	TA 1356	Male			Argeleb I	Men	Arthedain,Arnor	Unnamed wife
					Pippin Gamgee			
Mid ,First Age	FA 473	Male			Ulwarth	Men		
Late ,Third Age	TA 2994	Male			Lóni	Dwarves		
TA 2655	TA 2763	Male			Beren (Steward)	Men		Unnamed wife
TA 2948		Male			Porto Baggins	Hobbits		
					Tobold Hornblower			
					Ferdinand Took			
TA 136	TA 411	Male			Anardil	Men	Gondor	Unnamed wife
TA 2865	TA 2994	Male			Ori	Dwarves		
Before the Creation of Arda	Immortal	Male			Manwë	Ainur	Arda,Valinor	Varda
TA 2295	TA 2398	Male			Isumbras Took I	Hobbits		
FA 443	FA 500	Female	Dark, grey in old age	Tall	Morwen	Men		Húrin Thalion
Possibly late ,Third Age	March 15 ,TA 3019	Male	Blond (Video game)		Horn	Men		
TA 2926	FO 7 (SR 1428)	Male	Brown, later gray	1.2m (3'11")	Hamfast Gamgee	Hobbit		Bell Goodchild
Before the creation of ,Arda	None	Male	Brown-gray (films)		Radagast	Maiar		None
FA 390	FA 455	Male	Golden		Hador	Men		Gildis
TA 2745	TA 2848	Male			Fortinbras Took I	Hobbits		Unnamed wife
		Male			Galathil	Elves		Unnamed Wife
					Briffo Boffin			
